Address,Avatar,Avg. Session Length,Time on App,Time on Website,Length of Membership,Yearly Amount Spent
"835 Frank Tunnel
Wrightmouth, MI 82180-9605",Violet,34.4972677251123,12.6556511491668,39.5776680195262,4.08262063295296,587.951053968401
"4547 Archer Common
Diazchester, CA 06566-8576",Blue,31.9262720263602,11.1094607286826,37.2689588682977,2.66403418213262,392.204933444326
"24645 Valerie Unions Suite 582
Cobbborough, DC 99414-7564",Bisque,33.0009147556427,11.3302780577775,37.1105974421208,4.10454320237642,487.547504867472
"1414 David Throughway
Port Jason, OH 22070-1220",SaddleBrown,34.3055566297555,13.7175136651425,36.7212826779031,3.12017878274809,581.852344035218
"14023 Rodriguez Passage
Port Jacobville, PR 37242-1057",MediumAquaMarine,33.3306725236464,12.7951885510781,37.5366533005947,4.44630831835144,599.406092045764
"645 Martha Park Apt. 611
Jeffreychester, MN 67218-7250",FloralWhite,33.871037879342,12.0269253397551,37.0879260709838,5.4935072013642,637.102447915074
"68388 Reyes Lights Suite 692
Josephbury, WV 92213-0247",DarkSlateBlue,32.021595501387,11.3663483097105,36.6837761528696,4.68501724657091,521.572174757827
"Unit 6538 Box 8980
DPO AP 09026-4941",Aqua,32.7391429383803,12.3519589730029,37.3733588585476,4.43427343489994,549.904146105294
"860 Lee Key
West Debra, SD 97450-0495",Salmon,33.9877728956856,13.3862352756764,37.5344973415557,3.27343357774771,570.200408963619
"PSC 2734, Box 5255
APO AA 98456-7482",Brown,31.9365486184489,11.8141282949722,37.1451682235282,3.20280607155346,427.199384895328
"26104 Alexander Groves
Alexandriaport, WY 28244-9149",Tomato,33.9925727749537,13.3389754476621,37.2258061316211,2.4826077705106,492.606012717997
"Unit 2413 Box 0347
DPO AA 07580-2652",Tomato,33.879360824805,11.5847829995353,37.0879260709838,3.71320920294043,522.337404606936
"6705 Miller Orchard Suite 186
Lake Shanestad, MO 75696-5051",RoyalBlue,29.5324289670579,10.9612984001541,37.4202155750254,4.04642316429959,408.640351072628
"05302 Dunlap Ferry
New Stephaniehaven, MP 42268",Bisque,33.1903340437227,12.9592260916094,36.1446667000419,3.918541839159,573.415867331387
"7773 Powell Springs Suite 190
Samanthaland, ND 44358",DarkBlue,32.3879758531539,13.1487256920565,36.6199570827992,2.49454364665925,470.452733300956
"49558 Ramirez Road Suite 399
Phillipstad, OH 35641-3238",Peru,30.7377203726282,12.6366060520001,36.2137630936986,3.35784684232629,461.78074219623
"6362 Wilson Mountain
Johnsonfurt, GA 15169",PowderBlue,32.1253868972878,11.7338616908574,34.8940927514398,3.13613271648978,457.847695944949
"8982 Burton Row
Wilsonton, PW 88606",OliveDrab,32.3388993230672,12.0131946940144,38.3851365941384,2.42080616090148,407.704547549544
